LOINC #,Long Common Name,Short Name,CLASS,Rank
85954-6,Streptococcus pneumoniae Danish serotype 1 IgG Ab [Mass/volume] in Serum,S pneum Da 1 IgG Ser-mCnc,MICRO,1394
85955-3,Streptococcus pneumoniae Danish serotype 1 IgG Ab [Mass/volume] in Serum by Immunoassay,S pneum Da 1 IgG Ser IA-mCnc,MICRO,1395
26019-0,Creatine Kinase.macromolecular type 1/Creatine kinase.total in Serum or Plasma,CK Macro1 CFr SerPl,Chem,1396
26020-8,Creatine Kinase.macromolecular type 2/Creatine kinase.total in Serum or Plasma,CK Macro2 CFr SerPl,Chem,1397
41763-4,Rubella virus IgG Ab [Titer] in Serum,RUBV IgG Titr Ser,MICRO,1398
42483-8,Protein.monoclonal/Protein.total in Urine by Electrophoresis,M Protein MFr Ur Elph,Chem,1399
12859-5,HIV 1 p18 Ab [Presence] in Serum by Immunoblot (IB),HIV1 p18 Ab Ser Ql IB,MICRO,1400
6050-9,Brazil Nut IgE Ab [Units/volume] in Serum,Brazil Nut IgE Qn,Allergy,1401
85977-7,Streptococcus pneumoniae Danish serotype 12F IgG Ab [Mass/volume] in Serum,S pneum Da 12F IgG Ser-mCnc,MICRO,1402
85974-4,Streptococcus pneumoniae Danish serotype 12F IgG Ab [Mass/volume] in Serum by Immunoassay,S pneum Da 12F IgG Ser IA-mCnc,MICRO,1403
21619-2,APOE gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,APOE gene Mut Anal Bld/T,MOLPATH.MUT,1404
3086-6,Urate [Mass/volume] in Urine,Urate Ur-mCnc,Chem,1405
18267-5,CD16+CD56+ cells/100 cells in Blood,CD16+CD56+ Cells NFr Bld,CELLMARK,1406
48560-7,Human papilloma virus genotype [Identifier] in Unspecified specimen by Probe & target amplification method,HPV Gentyp XXX PCR,MICRO,1407
33536-4,Miscellaneous allergen IgE Ab RAST class in Serum,Misc Allergen IgE RAST Ql,Allergy,1408
14288-5,Carnitine [Moles/volume] in Serum or Plasma,Carnitine SerPl-sCnc,Chem,1409
20402-4,CD16+CD56+ cells [#/volume] in Blood,CD16+CD56+ Cells # Bld,CELLMARK,1410
2333-3,Gastrin [Mass/volume] in Serum or Plasma,Gastrin SerPl-mCnc,Chem,1411
11778-8,Delivery date Estimated,Deliv date Clin est,OB.US,1412
42810-2,Hemoglobin [Entitic mass] in Reticulocytes,Hgb Retic Qn,HEM/BC,1413
5191-2,Hepatitis B virus e Ag [Units/volume] in Serum by Immunoassay,HBV e Ag Ser IA-aCnc,MICRO,1414
26458-0,Erythrocytes [#/volume] in Synovial fluid,RBC # Snv,HEM/BC,1415
14664-7,Color of Synovial fluid,Color Snv,SPEC,1416
8214-9,Opiates [Presence] in Meconium,Opiates Mec Ql,DRUG/TOX,1417
14286-9,Carnitine free (C0) [Moles/volume] in Serum or Plasma,Carnitine Free SerPl-sCnc,Chem,1418
27939-8,Collagen crosslinked N-telopeptide [Moles/volume] in Urine,Collagen NTx Ur-sCnc,Chem,1419
16130-7,Herpes simplex virus 1 DNA [Presence] in Unspecified specimen by Probe & target amplification method,HSV1 DNA XXX Ql PCR,MICRO,1420
32766-8,Trichomonas vaginalis [Presence] in Unspecified specimen by Wet preparation,T vaginalis XXX Ql Wet Prep,MICRO,1421
17284-1,Mitochondria Ab [Presence] in Serum by Immunofluorescence,Mitochondria Ab Ser Ql IF,SERO,1422
16268-5,Calcium phosphate crystals [Presence] in Stone by Infrared spectroscopy,Ca Phos Cry Stone Ql IR,Chem,1423
7905-3,Hepatitis B virus surface Ag [Presence] in Serum by Neutralization test,HBV surface Ag SerPl Ql Nt,MICRO,1424
19126-2,Bacteria identified in Bone marrow by Aerobe culture,Bacteria Mar Aerobe Cult,MICRO,1425
6158-0,Latex IgE Ab [Units/volume] in Serum,Ltx IgE Qn,Allergy,1426
3282-1,aPTT W excess hexagonal phase phospholipid in Platelet poor plasma by Coagulation assay,aPTT Hex PL PPP,COAG,1427
32031-7,Phosphatidylserine IgA Ab [Units/volume] in Serum by Immunoassay,PS IgA Ser IA-aCnc,COAG,1428
6266-1,Tomato IgE Ab [Units/volume] in Serum,Tomato IgE Qn,Allergy,1429
6009-5,Protein C Ag [Units/volume] in Platelet poor plasma by Immunologic method,Prot C Ag PPP IA-aCnc,COAG,1430
936-5,Blood product unit [Identifier],Bld Unit Id BPU,BLDBK,1431
9820-2,Cryptococcus sp Ag [Titer] in Serum by Latex agglutination,Cryptoc Ag Titr Ser LA,MICRO,1432
11013-0,DNA double strand Ab [Titer] in Serum,dsDNA Ab Titr Ser,SERO,1433
31080-5,Cannabinoids [Presence] in Meconium by Screen method,Cannabinoids Mec Ql Scn,DRUG/TOX,1434
5909-7,Blood smear finding [Identifier] in Blood by Light microscopy,Bld Smear Interp,HEM/BC,1435
22296-8,Epstein Barr virus nuclear Ab [Presence] in Serum,EBV NA Ab Ser Ql,MICRO,1436
575-1,Fungus identified in Skin by Culture,Fungus Skin Cult,MICRO,1437
5820-6,WBC casts [#/area] in Urine sediment by Microscopy low power field,WBC Casts #/area UrnS LPF,UA,1438
2999-1,Thiamine [Mass/volume] in Serum or Plasma,Vit B1 SerPl-mCnc,Chem,1439
35452-2,HIV 1 gp40 Ab [Presence] in Serum by Immunoblot (IB),HIV1 gp40 Ab Ser Ql IB,MICRO,1440
20449-5,Borrelia burgdorferi Ab [Presence] in Serum by Immunoassay,B burgdor Ab Ser Ql IA,MICRO,1441
6174-7,Milk IgE Ab [Units/volume] in Serum,Milk IgE Qn,Allergy,1442
13047-6,Plasma cells/100 leukocytes in Blood,Plasma Cells/leuk NFr Bld,HEM/BC,1443
20999-9,Cell Fractions/Differential [interpretation] in Body fluid,Cell Fract Fld-Imp,HEM/BC,1444
16250-3,Codeine [Mass/volume] in Urine by Confirmatory method,Codeine Ur Cfm-mCnc,DRUG/TOX,1445
15283-5,Silver Birch IgE Ab [Units/volume] in Serum,Silver Birch IgE Qn,Allergy,1446
1903-4,Ascorbate [Mass/volume] in Serum or Plasma,Vit C SerPl-mCnc,Chem,1447
40527-4,Cocaine [Presence] in Meconium,Cocaine Mec Ql,DRUG/TOX,1448
1695-6,5-Hydroxyindoleacetate [Mass/time] in 24 hour Urine,5OH-indoleacetate 24h Ur-mRate,Chem,1449
1549-5,Glucose [Mass/volume] in Serum or Plasma --pre 100 g glucose PO,Glucose pre 100 g Glc PO SerPl-mCnc,CHAL,1450
21525-1,Sodium [Moles/volume] in 24 hour Urine,Sodium 24h Ur-sCnc,Chem,1451
14906-2,Rh [Type] in Cord blood,Rh BldCo,BLDBK,1452
20112-9,Tidal volume setting Ventilator,VT setting Vent,PULM,1453
8144-8,Amphetamines [Presence] in Meconium,Amphetamines Mec Ql,DRUG/TOX,1454
6242-2,Sesame Seed IgE Ab [Units/volume] in Serum,Sesame Seed IgE Qn,Allergy,1455
21023-7,Neutrophil cytoplasmic Ab [Titer] in Serum,ANCA Ab Titr Ser,SERO,1456
7983-0,Parvovirus B19 IgG Ab [Units/volume] in Serum,B19V IgG Ser-aCnc,MICRO,1457
30361-0,HIV 2 Ab [Presence] in Serum by Immunoassay,HIV 2 Ab SerPl Ql IA,MICRO,1458
781-5,Promyelocytes [#/volume] in Blood by Manual count,Promyelocytes # Bld Manual,HEM/BC,1459
51892-8,ABO group [Type] in Cord blood,ABO Group BldCo,BLDBK,1460
42803-7,Bacteria identified in Isolate,Bacteria Islt,MICRO,1461
25631-3,Parvovirus B19 IgM Ab [Titer] in Serum,B19V IgM Titr Ser,MICRO,1462
32787-4,Neutrophil cytoplasmic Ab.perinuclear [Titer] in Serum,p-ANCA Titr Ser,SERO,1463
19429-0,Propoxyphene [Presence] in Urine by Screen method,Propoxyph Ur Ql Scn,DRUG/TOX,1464
2282-2,Folate [Mass/volume] in Blood,Folate Bld-mCnc,Chem,1465
16251-1,Morphine [Mass/volume] in Urine by Confirmatory method,Morphine Ur Cfm-mCnc,DRUG/TOX,1466
32585-2,Epstein Barr virus DNA [#/volume] (viral load) in Unspecified specimen by Probe & target amplification method,EBV DNA # XXX PCR,MICRO,1467
15410-4,Varicella zoster virus IgG Ab [Presence] in Serum by Immunoassay,VZV IgG Ser Ql IA,MICRO,1468
5357-9,Smith extractable nuclear Ab [Presence] in Serum by Immune diffusion (ID),ENA SM Ab Ser Ql ID,SERO,1469
5036-9,Streptococcus pyogenes rRNA [Presence] in Unspecified specimen by DNA probe,S pyo rRNA XXX Ql Prb,MICRO,1470
40974-8,Streptococcus pneumoniae Danish serotype 19A IgG Ab [Mass/volume] in Serum,S pneum Da 19A IgG Ser-mCnc,MICRO,1471
40915-1,Streptococcus pneumoniae Danish serotype 19A IgG Ab [Mass/volume] in Serum by Immunoassay,S pneum Da 19A IgG Ser IA-mCnc,MICRO,1472
31019-3,10-Hydroxycarbazepine [Mass/volume] in Serum or Plasma,10OH-Carbazepine SerPl-mCnc,DRUG/TOX,1473
11040-3,Cortisol Free [Mass/volume] in Urine,Cortis F Ur-mCnc,Chem,1474
9704-8,Spermatozoa [Morphology] in Semen,Sperm Smn,FERT,1475
601-5,Fungus identified in Blood by Culture,Fungus Bld Cult,MICRO,1476
19803-6,Specimen site,Specimen site,ENDO.GI,1477
2779-7,Phosphate [Mass/time] in 24 hour Urine,Phosphate 24h Ur-mRate,Chem,1478
21695-2,HFE gene p.C282Y [Presence] in Blood or Tissue by Molecular genetics method,HFE p.C282Y Bld/T Ql,MOLPATH.MUT,1479
38256-4,Cells Counted Total [#] in Body fluid,Total Cells Counted Fld,HEM/BC,1480
10587-4,Sexual abstinence duration,Sex Abstin duration Time Patient,FERT,1481
41479-7,BK virus DNA [#/volume] (viral load) in Serum or Plasma by Probe & target amplification method,BKV DNA # SerPl PCR,MICRO,1482
21260-5,Epstein Barr virus nuclear Ab [Titer] in Serum by Immunofluorescence,EBV NA Ab Titr Ser IF,MICRO,1483
35270-8,Candida sp Ab [Presence] in Serum by Immune diffusion (ID),Candida Ab Ser Ql ID,MICRO,1484
14194-5,Spermatozoa Progressive/100 spermatozoa in Semen,Sperm Prog NFr Smn,FERT,1485
6190-3,Oat IgE Ab [Units/volume] in Serum,Oat IgE Qn,Allergy,1486
6222-4,Queen Palm IgE Ab [Units/volume] in Serum,Queen Palm IgE Qn,Allergy,1487
27820-0,Protein C Ag actual/normal in Platelet poor plasma by Immunologic method,Prot C Ag Act/Nor PPP IA,COAG,1488
10579-1,Leukocytes [#/volume] in Semen,WBC # Smn,FERT,1489
30247-1,Cytomegalovirus DNA [#/volume] (viral load) in Serum or Plasma by Probe & target amplification method,CMV DNA # SerPl PCR,MICRO,1490
30165-5,Phosphatidylcholine/Albumin [Mass ratio] in Amniotic fluid,PC/Alb Amn,Chem,1491
12782-9,Protein fractions.oligoclonal bands [interpretation] in Cerebral spinal fluid by Electrophoresis,Oligoclonal Bands CSF Elph-Imp,Chem,1492
3422-3,Caffeine [Mass/volume] in Serum or Plasma,Caffeine SerPl-mCnc,DRUG/TOX,1493
6892-4,Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Dialysis,T4 Free SerPl Dialy-mCnc,Chem,1494
6151-5,Italian Cypress IgE Ab [Units/volume] in Serum,Italian Cypress IgE Qn,Allergy,1495
5946-9,aPTT.factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of normal plasma,aPTT imm NP PPP,COAG,1496
6230-7,Rice IgE Ab [Units/volume] in Serum,Rice IgE Qn,Allergy,1497
10525-4,Microscopic observation [Identifier] in Unspecified specimen by Cyto stain,Cyto XXX,CYTO,1498
40692-6,Volume of Semen--pre washing,Specimen vol Pre Wash Smn,FERT,1499
11884-4,Gestational age Estimated,GA Clin est,OB.US,1500
19171-8,Alpha-1-Fetoprotein [Units/volume] in Amniotic fluid,AFP Amn-aCnc,Chem,1501
7287-6,Dog Fennel IgE Ab [Units/volume] in Serum,Dog Fennel IgE Qn,Allergy,1502
44528-8,Histoplasma capsulatum M Ab [Presence] in Serum,H capsul M Ab Ser Ql,MICRO,1503
12227-5,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,WBC nRBC cor # Bld,HEM/BC,1504
3545-1,Propoxyphene [Mass/volume] in Urine,Propoxyph Ur-mCnc,DRUG/TOX,1505
20473-5,Polymorphonuclear cells [Presence] in Unspecified specimen by Wright stain,Polys XXX Ql Wright Stn,HEM/BC,1506
35732-7,Histoplasma capsulatum H Ab [Presence] in Serum by Immune diffusion (ID),H capsul H Ab Ser Ql ID,MICRO,1507
19261-7,Amphetamines [Presence] in Urine by Screen method,Amphetamines Ur Ql Scn,DRUG/TOX,1508
11235-9,Fentanyl [Presence] in Urine,Fentanyl Ur Ql,DRUG/TOX,1509
5221-7,HIV 1 Ab [Presence] in Serum by Immunoblot (IB),HIV1 Ab SerPl Ql IB,MICRO,1510
6109-3,White Elm IgE Ab [Units/volume] in Serum,White Elm IgE Qn,Allergy,1511
10353-1,Bacteria identified in Nose by Aerobe culture,Bacteria Nose Aerobe Cult,MICRO,1512
7124-1,Bayberry Pollen IgE Ab [Units/volume] in Serum,Bayberry Poln IgE Qn,Allergy,1513
8251-1,Service comment,Service Cmnt XXX-Imp,MISC,1514
38996-5,Neutrophils [Presence] in Urine by Light microscopy,Neutrophils Ur Ql Micro,UA,1515
15197-7,Lymphocytes Fissured/100 leukocytes in Blood by Manual count,Cleft Lymphs/leuk NFr Bld Manual,HEM/BC,1516
14207-5,Streptococcal DNAse B [Titer] in Serum,Strep DNAse B Titr Ser,MICRO,1517
44547-8,Human papilloma virus DNA [Presence] in Unspecified specimen by Probe & signal amplification method,HPV DNA XXX Ql bDNA,MICRO,1518
28543-7,Basophils/100 leukocytes in Body fluid,Basophils/leuk NFr Fld,HEM/BC,1519
6012-9,von Willebrand factor (vWf) Ag [Units/volume] in Platelet poor plasma by Immunologic method,vWF Ag PPP IA-aCnc,COAG,1520
7902-0,Helicobacter pylori IgG Ab [Units/volume] in Serum,H pylori IgG Ser-aCnc,MICRO,1521
10728-4,Trichomonas sp identified in Genital specimen by Organism specific culture,Trichomonas Genital Cult,MICRO,1522
8118-2,CD2 cells/100 cells in Blood,CD2 Cells NFr Bld,CELLMARK,1523
38496-6,Retinyl palmitate [Mass/volume] in Serum or Plasma,Retinyl Palmitate SerPl-mCnc,Chem,1524
48053-3,Turbidity [Presence] of Synovial fluid,Turbidity Snv Ql,SPEC,1525
33984-6,Coagulation factor X activity actual/normal in Platelet poor plasma by Chromogenic method,Fact X Act/Nor PPP Chro,COAG,1526
49839-4,Eosinophils [Presence] in Urine sediment by Wright stain,Eosinophil UrnS Ql Wright Stn,HEM/BC,1527
5669-7,Isopropanol [Mass/volume] in Serum or Plasma,Isopropanol SerPl-mCnc,DRUG/TOX,1528
7816-2,Blastomyces dermatitidis Ab [Presence] in Serum,B dermat Ab Ser Ql,MICRO,1529
7477-3,Mango Pollen IgE Ab [Units/volume] in Serum,Mango Poln IgE Qn,Allergy,1530
36913-2,FMR1 gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,FMR1 gene Mut Anal Bld/T,MOLPATH.MUT,1531
13943-6,Fructose [Presence] in Semen,Fructose Smn Ql,Chem,1532
34441-6,Spermatozoa [Velocity] in Semen,Sperm Smn Qn,FERT,1533
7110-0,Groundsel Tree IgE Ab [Units/volume] in Serum,Groundsel Tree IgE Qn,Allergy,1534
2464-6,IgG [Mass/volume] in Cerebral spinal fluid,IgG CSF-mCnc,Chem,1535
6195-2,Cocksfoot IgE Ab [Units/volume] in Serum,Cocksfoot IgE Qn,Allergy,1536
4059-2,Tobramycin [Mass/volume] in Serum or Plasma --trough,Tobramycin Trough SerPl-mCnc,DRUG/TOX,1537
48051-7,Erythrocytes [Presence] in Vaginal fluid,RBC Vag Ql,HEM/BC,1538
19710-3,Tramadol [Presence] in Urine by Screen method,Tramadol Ur Ql Scn,DRUG/TOX,1539
22297-6,Epstein Barr virus nuclear Ab [Titer] in Serum,EBV NA Ab Titr Ser,MICRO,1540
27823-4,Protein S Ag actual/normal in Platelet poor plasma by Immunologic method,Prot S Ag Act/Nor PPP IA,COAG,1541
560-3,Chlamydia sp identified in Unspecified specimen by Organism specific culture,Chlamydia XXX Cult,MICRO,1542
20427-1,Acetylcholine receptor Ab [Moles/volume] in Serum,AChR Ab Ser-sCnc,SERO,1543
48038-4,Pathologist interpretation of Synovial fluid tests,Path Interp Snv-Imp,PATH,1544
4551-8,Hemoglobin A2/Hemoglobin.total in Blood,Hgb A2 MFr Bld,HEM/BC,1545
47383-5,Nuclear Ab [Presence] in Serum by Immunoassay,ANA Ser Ql IA,SERO,1546
9557-0,CD2 cells [#/volume] in Blood,CD2 Cells # Bld,CELLMARK,1547
41476-3,Rickettsia rickettsii IgG Ab [Presence] in Serum by Immunoassay,R rickettsi IgG Ser Ql IA,MICRO,1548
9804-6,Weight of Stone,Wt Stone,PATH,1549
20468-5,Thiamine [Moles/volume] in Serum or Plasma,Vit B1 SerPl-sCnc,Chem,1550
33242-9,Fungi.filamentous [Presence] in Urine by Computer assisted method,Filament Fungi Ur Ql Comp Assist,UA,1551
27821-8,Protein S Free Ag actual/normal in Platelet poor plasma by Immunologic method,Prot S Free Ag Act/Nor PPP IA,COAG,1552
3175-7,Antithrombin Ag [Units/volume] in Platelet poor plasma by Immunologic method,AT III Ag PPP IA-aCnc,COAG,1553
49572-1,Second trimester triple maternal screen [interpretation] in Serum or Plasma Narrative,2nd trimester 3 screen SerPl-Imp,Chem,1554
23301-5,Mycoplasma sp DNA [Presence] in Unspecified specimen by Probe & target amplification method,Mycoplasma DNA XXX Ql PCR,MICRO,1555
5256-3,Mycoplasma pneumoniae IgM Ab [Units/volume] in Serum by Immunoassay,M pneumo IgM Ser IA-aCnc,MICRO,1556
21760-4,FRAXE gene CGG repeats [Presence] in Blood or Tissue by Molecular genetics method,FRAXE gene CGG Rpt Bld/T Ql,MOLPATH.TRINUC,1557
16117-4,Babesia microti IgG Ab [Titer] in Serum,Bab microti IgG Titr Ser,MICRO,1558
41475-5,Rickettsia rickettsii IgM Ab [Presence] in Serum by Immunoassay,R rickettsi IgM Ser Ql IA,MICRO,1559
21416-3,Neisseria gonorrhoeae DNA [Presence] in Urine by Probe & target amplification method,N gonorrhoea DNA Ur Ql PCR,MICRO,1560
24119-0,Cytomegalovirus IgM Ab [Presence] in Serum by Immunoassay,CMV IgM SerPl Ql IA,MICRO,1561
21582-2,Tryptase [Mass/volume] in Serum or Plasma,Tryptase SerPl-mCnc,Chem,1562
5255-5,Mycoplasma pneumoniae IgG Ab [Units/volume] in Serum by Immunoassay,M pneumo IgG Ser IA-aCnc,MICRO,1563
13947-7,Coccidioides immitis IgG Ab [Presence] in Serum by Immunoassay,C immitis IgG Ser Ql IA,MICRO,1564
2251-7,Estriol (E3) [Mass/volume] in Serum or Plasma,Estriol SerPl-mCnc,Chem,1565
24125-7,Androgen free Index in Serum or Plasma,Androgen FAI SerPl-sRto,Chem,1566
13948-5,Coccidioides immitis IgM Ab [Presence] in Serum by Immunoassay,C immitis IgM Ser Ql IA,MICRO,1567
25474-8,Metanephrines [Moles/volume] in Serum or Plasma,MetanephS SerPl-sCnc,Chem,1568
49580-4,HIV 1+2 Ab [Presence] in Unspecified specimen by Rapid test,HIV1+2 Ab XXX Ql IA.rapid,MICRO,1569
6021-0,Apple IgE Ab [Units/volume] in Serum,Apple IgE Qn,Allergy,1570
26451-5,Eosinophils/100 leukocytes in Cerebral spinal fluid,Eosinophil/leuk NFr CSF,HEM/BC,1571
5908-9,Platelets Giant [Presence] in Blood by Light microscopy,Giant Platelets Bld Ql Smear,HEM/BC,1572
16118-2,Babesia microti IgM Ab [Titer] in Serum,Bab microti IgM Titr Ser,MICRO,1573
4057-6,Tobramycin [Mass/volume] in Serum or Plasma --peak,Tobramycin Peak SerPl-mCnc,DRUG/TOX,1574
30525-0,Age,Age,MISC,1575
32546-4,Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells,G6PD RBC-cCnt,Chem,1576
32164-6,Cells [#/volume] in Synovial fluid by Manual count,Cells # Snv Manual,HEM/BC,1577
9811-1,Chromogranin A [Mass/volume] in Serum or Plasma,CgA SerPl-mCnc,Chem,1578
10355-6,Microscopic observation [Identifier] in Bone marrow by Wright Giemsa stain,Wright Gie Stn Mar,MICRO,1579
1848-1,Androstanolone [Mass/volume] in Serum or Plasma,Androstanolone SerPl-mCnc,Chem,1580
3969-3,Phenytoin Free [Mass/volume] in Serum or Plasma,Phenytoin Free SerPl-mCnc,DRUG/TOX,1581
6270-3,Tuna IgE Ab [Units/volume] in Serum,Tuna IgE Qn,Allergy,1582
7613-3,Pistachio IgE Ab [Units/volume] in Serum,Pistachio IgE Qn,Allergy,1583
14083-0,Epstein Barr virus early Ab [Titer] in Serum by Immunofluorescence,EBV EA Ab Titr Ser IF,MICRO,1584
18182-6,Osmolality of Serum or Plasma by calculation,Osmolality SerPl Calc,Chem,1585
41279-1,Borrelia burgdorferi IgG Ab/IgM Ab [Ratio] in Serum,B burgdor IgG/IgM Ser-Rto,MICRO,1586
7883-2,Epstein Barr virus nuclear IgG Ab [Presence] in Serum,EBV NA IgG Ser Ql,MICRO,1587
20425-5,Cardiolipin IgM Ab [interpretation] in Serum,Cardiolipin IgM Ser-Imp,COAG,1588
1746-7,Albumin [Mass/volume] in Cerebral spinal fluid,Albumin CSF-mCnc,Chem,1589
20424-8,Cardiolipin IgG Ab [interpretation] in Serum,Cardiolipin IgG Ser-Imp,COAG,1590
26479-6,Lymphocytes/100 leukocytes in Cerebral spinal fluid,Lymphocytes/leuk NFr CSF,HEM/BC,1591
3043-7,Triglyceride [Mass/volume] in Blood,Trigl Bld-mCnc,Chem,1592
609-8,Bacteria identified in Eye by Aerobe culture,Bacteria Eye Aerobe Cult,MICRO,1593
15643-0,Clam IgE Ab RAST class in Serum,Clam IgE RAST Ql,Allergy,1594
14869-2,Pathologist review of Blood tests,Path Rev Bld -Imp,BLDBK,1595
5814-9,Triple phosphate crystals [Presence] in Urine sediment by Light microscopy,Tri-Phos Cry UrnS Ql Micro,UA,1596
30193-7,Acylcarnitine/Carnitine.free (C0) [Molar ratio] in Serum or Plasma,Acylcarnitine/C0 SerPl-sRto,Chem,1597
8047-3,Varicella zoster virus IgG Ab [Units/volume] in Serum,VZV IgG Ser-aCnc,MICRO,1598
38476-8,Mullerian inhibiting substance [Mass/volume] in Serum or Plasma,MIS SerPl-mCnc,Chem,1599
5834-7,Adenovirus Ag [Presence] in Unspecified specimen by Immunofluorescence,HAdV Ag XXX Ql IF,MICRO,1600
6257-0,Strawberry IgE Ab [Units/volume] in Serum,Strawberry IgE Qn,Allergy,1601
28009-9,Volume of Urine,Specimen vol Ur,SPEC,1602
19111-4,Mother's hospital number,Mother's hospital #,CLIN,1603
13349-6,Leukocytes [#/volume] in Stool by Manual count,WBC # Stl Manual,HEM/BC,1604
1992-7,Calcitonin [Mass/volume] in Serum or Plasma,Calcit SerPl-mCnc,Chem,1605
26607-2,Cystathionine [Moles/volume] in Serum or Plasma,Cystathionin SerPl-sCnc,Chem,1606
16263-6,Calcium oxalate dihydrate crystals [Presence] in Stone by Infrared spectroscopy,COD Cry Stone Ql IR,Chem,1607
47387-6,Neisseria gonorrhoeae DNA [Presence] in Genital specimen by Probe & target amplification method,N gonorrhoea DNA Genital Ql PCR,MICRO,1608
698-1,Neisseria gonorrhoeae [Presence] in Unspecified specimen by Organism specific culture,N gonorrhoea XXX Ql Cult,MICRO,1609
5646-5,Ethylene glycol [Mass/volume] in Serum or Plasma,Ethylene Glycol SerPlBld-mCnc,DRUG/TOX,1610
7917-8,HIV 1 Ab [Presence] in Serum,HIV1 Ab Ser Ql,MICRO,1611
17122-3,CD19+Kappa+ cells/100 cells in Blood,CD19+Kappa+ Cells NFr Bld,CELLMARK,1612
32786-6,Thyroperoxidase Ab [Titer] in Serum or Plasma,Thyroperoxidase Ab Titr SerPl,SERO,1613
5724-0,Selenium [Mass/volume] in Serum or Plasma,Selenium SerPl-mCnc,DRUG/TOX,1614
6209-1,Pecan or Hickory Tree IgE Ab [Units/volume] in Serum,Pecan/Hick Tree IgE Qn,Allergy,1615
4633-4,Hemoglobin F/Hemoglobin.total in Blood by Kleihauer-Betke method,Hgb F MFr Bld Kleih Betke,HEM/BC,1616
4821-5,HLA-B27 [Presence],HLA-B27 Ql,HLA,1617
22203-4,Clostridium tetani IgG Ab [Units/volume] in Serum,C tetani IgG Ser-aCnc,MICRO,1618
6237-2,Salmon IgE Ab [Units/volume] in Serum,Salmon IgE Qn,Allergy,1619
48049-1,Eosinophils [Presence] in Stool by Wright stain,Eosinophil Stl Ql Wright Stn,HEM/BC,1620
5202-7,Herpes simplex virus Ab [Units/volume] in Serum by Immunoassay,HSV Ab Ser IA-aCnc,MICRO,1621
12308-3,Hydrocodone [Presence] in Urine,Hydrocodone Ur Ql,DRUG/TOX,1622
9834-3,Hydromorphone [Presence] in Urine,Hydromorphone Ur Ql,DRUG/TOX,1623
42192-5,Nidus [Presence] in Stone,Nidus Stone Ql,PATH,1624
16249-5,Oxycodone [Mass/volume] in Urine by Confirmatory method,Oxycodone Ur Cfm-mCnc,DRUG/TOX,1625
30437-8,Monocytes+Macrophages/100 leukocytes in Body fluid,Monos+Macros/leuk NFr Fld,HEM/BC,1626
